iter	Logloss
0	0.6763754347
1	0.662381004
2	0.6516074866
3	0.6429783653
4	0.6356795222
5	0.6295178302
6	0.6249164006
7	0.6210693071
8	0.61774644
9	0.6145887897
10	0.6117487172
11	0.6097609343
12	0.6078207728
13	0.6063020713
14	0.6046187388
15	0.6034473276
16	0.6021941644
17	0.6010386298
18	0.600290256
19	0.5992405318
20	0.5981540786
21	0.5976200396
22	0.5970587185
23	0.5963708818
24	0.5956892288
25	0.5949526359
26	0.5942956336
27	0.5936228532
28	0.5931521257
29	0.5926130701
30	0.5917841834
31	0.5914696661
32	0.5911818422
33	0.5909600032
34	0.5906809876
35	0.5902676721
36	0.5898656428
37	0.5894254837
38	0.5888317264
39	0.5886297623
40	0.5883743631
41	0.5880027804
42	0.5874025223
43	0.5871701522
44	0.5866452712
45	0.5864142347
46	0.5860133582
47	0.5858086467
48	0.5856874952
49	0.5853467764
50	0.5850369022
51	0.5848923769
52	0.5843171958
53	0.5840950674
54	0.5834585289
55	0.5832805688
56	0.582880768
57	0.5824088495
58	0.5820392532
59	0.5818319764
60	0.5814207908
61	0.5812717199
62	0.5808716047
63	0.5805292957
64	0.5803874047
65	0.5801516869
66	0.5799296551
67	0.5794988581
68	0.5790997417
69	0.5787417968
70	0.5784442032
71	0.5780796129
72	0.5779283244
73	0.5777942278
74	0.5776793857
75	0.5772709111
76	0.5768264727
77	0.5767353305
78	0.5763977713
79	0.5762453393
80	0.5758645372
81	0.5756256364
82	0.5754207131
83	0.5750714814
84	0.5747641608
85	0.5744864674
86	0.5743411497
87	0.5740636116
88	0.5738384326
89	0.5737732205
90	0.5736501851
91	0.5735121455
92	0.5732566281
93	0.572996422
94	0.5727377258
95	0.572580619
96	0.5722613405
97	0.5721086522
98	0.5718760609
99	0.5716383632
100	0.5713323633
101	0.5711524738
102	0.5709552995
103	0.5708941096
104	0.5707235169
105	0.5704096116
106	0.5703645465
107	0.5702312199
108	0.5699567875
109	0.5696260503
110	0.5695046381
111	0.5693276132
112	0.5691733105
113	0.5690352808
114	0.5688521086
115	0.56871897
116	0.5684948473
117	0.5683895118
118	0.5682896743
119	0.5680430994
120	0.5676736076
121	0.5675047218
122	0.5673271338
123	0.567140793
124	0.5669310132
125	0.566738393
126	0.5665450712
127	0.5664218237
128	0.5662316055
129	0.5661275837
130	0.5659988713
131	0.565910179
132	0.5657709717
133	0.565540162
134	0.5654485644
135	0.5652793842
136	0.5650267951
137	0.5649007103
138	0.5646511441
139	0.5645504857
140	0.5644017399
141	0.5642397537
142	0.5642043258
143	0.5639211768
144	0.563838789
145	0.5637597907
146	0.5635535687
147	0.5634109172
148	0.5632373628
149	0.5631553087
150	0.5630382236
151	0.5629410437
152	0.5628975062
153	0.5627622611
154	0.562617578
155	0.5624886514
156	0.562357699
157	0.5623231373
158	0.5621318851
159	0.5618756104
160	0.5617942126
161	0.5615292625
162	0.5614483946
163	0.5612510999
164	0.5610347462
165	0.5609626483
166	0.5606924729
167	0.5605170459
168	0.5602597896
169	0.5601681413
170	0.5599878207
171	0.559821861
172	0.5597309344
173	0.5596503707
174	0.5595095136
175	0.5593345211
176	0.5591945433
177	0.5590313576
178	0.5589192381
179	0.55884716
180	0.5586529432
181	0.5585234571
182	0.5583920994
183	0.5583119557
184	0.5581971814
185	0.558044768
186	0.5578931761
187	0.5577582184
188	0.5576080101
189	0.5574960569
190	0.5573666471
191	0.5572490665
192	0.5571142167
193	0.5570046185
194	0.5569653415
195	0.5568244108
196	0.5567814739
197	0.5566886522
198	0.5564493692
199	0.5562271901
200	0.5560031258
201	0.5558688377
202	0.5557595668
203	0.5556935869
204	0.5555584002
205	0.5554420148
206	0.5553820911
207	0.5552769006
208	0.5551726323
209	0.5549803119
210	0.5548966692
211	0.5548340221
212	0.5546918719
213	0.5545840507
214	0.5544582205
215	0.5542941328
216	0.5541808638
217	0.5539965868
218	0.5538910919
219	0.5537875916
220	0.5536877886
221	0.5536234012
222	0.5534617122
223	0.5533487182
224	0.5532724987
225	0.5532044534
226	0.5531500076
227	0.5530136121
228	0.5528486121
229	0.5527902449
230	0.5527248828
231	0.5526728179
232	0.5524193789
233	0.5521998917
234	0.5521605235
235	0.5521179744
236	0.5520710246
237	0.5520017749
238	0.5519139073
239	0.5518186999
240	0.5516707999
241	0.5515901005
242	0.5514259972
